name;label;Filial;Regional_Distrito;Tipo_Activo;Condicion_Activo;Propiedad;Departamento;Municipio;Activos_Proyectos_SIGEB;País;comparacion
REFUERZO SUROCCIDENTAL 500 KV;REFUERZO SUROCCIDENTAL 500 KV;ENLAZA;Occidente;L�nea de Transmisi�n;Proyecto;Compartida;Antioquia;Abejorral;Refuerzo Suroccidental 500 kV;Colombia;sin cambio
REFUERZO SUROCCIDENTAL 500 KV;REFUERZO SUROCCIDENTAL 500 KV;ENLAZA;Occidente;L�nea de Transmisi�n;Proyecto;Compartida;Antioquia;Amagá;Refuerzo Suroccidental 500 kV;Colombia;sin cambio
REFUERZO SUROCCIDENTAL 500 KV;REFUERZO SUROCCIDENTAL 500 KV;ENLAZA;Occidente;L�nea de Transmisi�n;Proyecto;Compartida;Antioquia;Angelópolis;Refuerzo Suroccidental 500 kV;Colombia;sin cambio
REFUERZO SUROCCIDENTAL 500 KV;REFUERZO SUROCCIDENTAL 500 KV;ENLAZA;Occidente;L�nea de Transmisi�n;Proyecto;Compartida;Antioquia;Armenia;Refuerzo Suroccidental 500 kV;Colombia;sin cambio
PATIO DE ALMACENAMIENTO CALDAS;PATIO DE ALMACENAMIENTO CALDAS;ENLAZA;Occidente;Patio;Proyecto;Propio;Antioquia;Caldas;PATIO DE ALMACENAMIENTO CALDAS;Colombia;sin cambio
REFUERZO SUROCCIDENTAL 500 KV;REFUERZO SUROCCIDENTAL 500 KV;ENLAZA;Occidente;L�nea de Transmisi�n;Proyecto;Compartida;Antioquia;Caldas;Refuerzo Suroccidental 500 kV;Colombia;sin cambio
REFUERZO SUROCCIDENTAL 500 KV;REFUERZO SUROCCIDENTAL 500 KV;ENLAZA;Occidente;L�nea de Transmisi�n;Proyecto;Compartida;Antioquia;Fredonia;Refuerzo Suroccidental 500 kV;Colombia;sin cambio
SE HELICONIA;SE HELICONIA;ENLAZA;Occidente;Subestaci�n El�ctrica;Proyecto;Propio;Antioquia;Heliconia;SE Heliconia;Colombia;sin cambio
REFUERZO SUROCCIDENTAL 500 KV;REFUERZO SUROCCIDENTAL 500 KV;ENLAZA;Occidente;L�nea de Transmisi�n;Proyecto;Compartida;Antioquia;Heliconia;Refuerzo Suroccidental 500 kV;Colombia;sin cambio
GASODUCTO BALLENA-BARRANCABERMEJA;GASODUCTO BALLENA-BARRANCABERMEJA;TGI;Distrito 1;Gasoducto;Operaci�n;Propio;Antioquia;Puerto Berrío;GASODUCTO BALLENA-BARRANCABERMEJA;Colombia;sin cambio
GASODUCTO BALLENA-BARRANCABERMEJA;GASODUCTO BALLENA-BARRANCABERMEJA;TGI;Distrito 1;Gasoducto;Operaci�n;Propio;Antioquia;Puerto Nare;GASODUCTO BALLENA-BARRANCABERMEJA;Colombia;sin cambio
HOT TAP INTERCOR;HOT TAP INTERCOR;TGI;Distrito 6;V�lvula;Operaci�n;Propio;La Guajira;Albania;HOT TAP INTERCOR;Colombia;sin cambio
VAL BN 12 PUERTO TRIUNFO;VAL BN 12 PUERTO TRIUNFO;TGI;Distrito 1;V�lvula;Operaci�n;Propio;Antioquia;Puerto Triunfo;VAL BN 12 PUERTO TRIUNFO;Colombia;sin cambio
REFUERZO SUROCCIDENTAL 500 KV;REFUERZO SUROCCIDENTAL 500 KV;ENLAZA;Occidente;L�nea de Transmisi�n;Proyecto;Compartida;Antioquia;Santa Bárbara;Refuerzo Suroccidental 500 kV;Colombia;sin cambio
TRAMPA DE ENVIO ELROSARIO;TRAMPA DE ENVIO ELROSARIO;TGI;Distrito 1;Trampa Env�o;Operaci�n;Propio;Antioquia;Yondó;TRAMPA DE ENVIO ELROSARIO;Colombia;sin cambio
